#{"t_start": 1744811708.0384393, "env_id": "footsteps-planning-any-obstacle-multigoal-v0"}
r,l,t
-103.545756,90,601.137704
-103.195311,90,602.12574
-96.407338,90,603.095612
-94.765415,90,604.10812
-95.199175,90,605.081858
-95.490639,90,606.059152
-111.512841,90,607.030281
-97.919202,90,607.996809
-103.024789,90,608.990196
-100.166947,90,609.978891
-92.636576,90,610.950885
-92.479815,90,611.91391
-98.189836,90,612.872807
-96.822046,90,613.877325
-101.617211,90,614.847287
-95.814388,90,615.826655
-98.842535,90,616.448299
-97.17635,90,617.429385
-107.393339,90,618.411941
-106.578459,90,619.418983
-100.346683,90,620.403623
-95.095231,90,621.40823
-95.804567,90,622.398459
-96.816377,90,623.381068
-99.984889,90,624.369674
-106.153069,90,625.39306
-92.782841,90,626.373205
-101.348164,90,627.353953
-101.159722,90,628.314322
-100.598274,90,629.119325
-95.770791,90,629.740126
-96.228519,90,630.360676
-92.040496,90,630.981512
-97.367072,90,631.611477
-95.519043,90,632.232098
-98.645231,90,632.851909
-97.375888,90,633.473372
-98.861072,90,634.102075
-99.330473,90,634.723085
-96.774433,90,635.343418
-98.141355,90,636.14115
-95.855515,90,637.13254
-97.662598,90,638.113853
-95.473924,90,639.088819
-93.796147,90,640.063892
-97.924387,90,640.807126
-98.130944,90,641.437456
-186.44889,90,642.068175
-92.858337,90,642.697814
-95.399565,90,643.337343
-107.25882,90,643.970796
-100.199211,90,644.601951
-36.651894,35,645.176651
-96.33844,90,645.560164
-98.334759,90,646.545704
-99.360263,90,647.514755
-104.993418,90,648.502145
-96.256122,90,649.526878
-95.507198,90,650.520143
-96.206328,90,651.508322
-57.104687,53,652.438078
-99.041148,90,653.111639
-96.309633,90,653.991313
-96.387619,90,654.973261
-114.71335,90,655.959692
-95.722523,90,656.638725
-97.884065,90,657.269378
-100.754408,90,657.900065
-94.62964,90,658.531843
-103.871787,90,659.503265
-92.05465,90,660.486111
-92.522826,90,661.461886
-99.542432,90,662.425455
-93.974337,90,663.406556
-93.168827,90,664.392326
-114.18725,90,665.36843
-94.564726,90,666.344939
-96.772306,90,667.348544
-98.072568,90,668.321207
-112.967922,90,669.306209
-97.92675,90,670.27169
-84.73373,80,671.239576
-44.133212,42,672.036899
-100.848329,90,672.560731
-102.712174,90,673.540407
-95.537655,90,674.568182
-103.251384,90,675.543155
-95.348017,90,676.532205
-95.806446,90,677.515882
-96.42792,90,678.535646
-99.967699,90,679.533125
-99.761584,90,680.51039
-95.606863,90,681.497409
-74.834889,74,682.28091
-99.131545,90,682.809927
-118.265454,90,683.648383
-96.168962,90,684.270132
-107.723646,90,685.148804
-55.442962,52,686.076371
-98.269607,90,686.700574
-96.015401,90,687.68711
-101.986565,90,688.698124
-95.071884,90,690.136933
-96.640946,90,690.999761
-109.712019,90,691.967216
-94.967553,90,692.959444
-102.141499,90,693.963419
-104.348673,90,694.947984
-96.166828,90,695.932313
-101.219209,90,696.931593
-98.185065,90,697.79906
-97.452201,90,698.746085
-95.634284,90,699.412089
-105.133291,90,700.085026
-72.103389,65,700.677882
-98.17742,90,701.15476
-100.428477,90,701.774665
-97.315995,90,702.649004
-104.251633,90,703.650037
-102.4968,90,704.27185
-93.914747,90,704.89213
-104.455354,90,705.760741
-97.650432,90,706.660748
-98.4904,90,707.285417
-96.870594,90,708.039306
-96.221381,90,709.04131
-103.175377,90,710.025568
-97.58145,90,711.005706
-93.378138,90,711.987164
-95.657282,90,713.052971
-96.103092,90,713.947741
-97.091436,90,714.927665
-101.303742,90,715.899281
-97.624992,90,716.771988
-105.82868,90,717.742119
-99.237862,90,718.743539
-93.532778,90,719.710998
-100.592445,90,720.735418
-115.615385,90,721.788864
-96.883698,90,722.820581
-135.405427,90,723.82997
-102.749875,90,724.854308
-101.10576,90,725.822828
-93.401926,90,726.794599
-96.495071,90,727.766697
-110.394786,90,728.502023
-27.792133,28,729.055182
-93.264066,90,729.314986
-96.682704,90,729.935869
-97.089493,90,730.782826
